# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F560Wmag  F770Wmag  F1000Wmag  F1130Wmag  F1280Wmag  F1500Wmag  F1800Wmag  F2100Wmag  F2550Wmag
0.0152 0.01508 8.04003 5.1176433563 2.6146585941    4.940  4.321  3.5126 -0.187    8  0.877  0.401   417.22   179.66   113.61    86.45    71.51  2 -3.05e-06      0.08 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.031 -9.545 -9.752 -10.864 -11.208 -11.147 -11.109 -11.185 -11.197 -11.324
0.0152 0.01508 8.04003 5.1176443100 2.6146585941    4.939  4.447  3.4956 -0.381    8  0.878  0.401   680.36   255.40   158.96   121.60   100.66  2 -1.14e-05      0.35 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.348 -10.393 -10.757 -12.346 -12.739 -12.695 -12.682 -12.790 -12.818 -12.946
0.0152 0.01508 8.04003 5.1176438332 2.6146585941    4.939  4.489  3.4902 -0.444    8  0.877  0.401   801.36   286.24   177.25   135.81   112.46  2 -1.75e-05      0.53 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.451 -10.725 -11.144 -12.823 -13.223 -13.200 -13.207 -13.332 -13.369 -13.499
0.0152 0.01508 8.04003 5.1176447868 2.6146585941    4.939  4.434  3.4974 -0.361    8  0.878  0.401   645.91   246.23   153.51   117.36    97.15  2 -9.94e-06      0.30 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.315 -10.288 -10.632 -12.187 -12.577 -12.529 -12.510 -12.614 -12.638 -12.767
0.0152 0.01508 8.04003 5.1176466942 2.6146585941    4.939  4.354  3.5080 -0.238    8  0.878  0.401   473.94   197.24   124.20    94.65    78.30  2 -4.32e-06      0.13 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.115 -9.769 -10.026 -11.348 -11.718 -11.656 -11.620 -11.705 -11.720 -11.846
0.0152 0.01508 8.04003 5.1176500320 2.6146585941    4.938  4.244  3.5226 -0.071    8  0.878  0.401   315.32   145.67    92.99    70.54    58.32  2 -1.38e-06      0.02 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -5.841 -9.135 -9.265 -9.850 -10.099 -10.059 -10.036 -10.089 -10.099 -10.229
0.0152 0.01508 8.04003 5.1176552773 2.6146585941    4.937  4.283  3.5174 -0.130    8  0.878  0.401   363.35   162.11   102.99    78.25    64.71  2 -2.06e-06      0.04 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -5.937 -9.328 -9.490 -10.339 -10.643 -10.588 -10.556 -10.621 -10.631 -10.760
0.0152 0.01508 8.04003 5.1176624298 2.6146585941    4.935  4.312  3.5134 -0.175    8  0.878  0.401   405.74   175.98   111.38    84.74    70.08  2 -2.81e-06      0.07 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.011 -9.497 -9.694 -10.750 -11.087 -11.026 -10.990 -11.063 -11.074 -11.202
0.0152 0.01508 8.04003 5.1176719666 2.6146585941    4.933  4.331  3.5109 -0.204    8  0.878  0.401   435.69   185.46   117.11    89.16    73.75  2 -3.42e-06      0.09 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.058 -9.611 -9.832 -11.019 -11.374 -11.311 -11.273 -11.351 -11.364 -11.490
0.0152 0.01508 8.04003 5.1176843643 2.6146588326    4.930  4.344  3.5091 -0.224    8  0.878  0.401   457.55   192.23   121.18    92.31    76.37  2  -3.9e-06      0.11 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.089 -9.698 -9.938 -11.205 -11.569 -11.506 -11.468 -11.550 -11.565 -11.691
0.0152 0.01508 8.04003 5.1176996231 2.6146588326    4.927  4.354  3.5076 -0.242    8  0.878  0.401   477.67   198.35   124.86    95.16    78.73  2 -4.38e-06      0.14 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.116 -9.779 -10.038 -11.367 -11.738 -11.676 -11.640 -11.726 -11.741 -11.868
0.0152 0.01508 8.04003 5.1177186966 2.6146588326    4.923  4.366  3.5060 -0.260    8  0.878  0.401   499.75   204.95   128.82    98.23    81.28  2 -4.96e-06      0.16 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.146 -9.864 -10.142 -11.539 -11.917 -11.856 -11.822 -11.911 -11.928 -12.055
0.0152 0.01508 8.04003 5.1177186966 2.6146588326    4.923  4.561  3.4799 -0.559    8  0.878  0.401  1086.92   352.23   216.07   166.08   137.59  2 -3.78e-05      1.27 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.634 -11.427 -11.928 -13.543 -13.931 -13.984 -14.074 -14.253 -14.326 -14.463
0.0152 0.01508 8.04003 5.1177191734 2.6146588326    4.923  4.534  3.4835 -0.518    8  0.878  0.401   972.49   326.74   201.11   154.41   127.90  2 -2.85e-05      0.90 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.566 -11.161 -11.636 -13.314 -13.710 -13.728 -13.780 -13.933 -13.990 -14.122
0.0152 0.01508 8.04003 5.1177201271 2.6146588326    4.923  4.480  3.4908 -0.434    8  0.878  0.401   780.09   280.91   174.08   133.36   110.43  2 -1.62e-05      0.47 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.429 -10.654 -11.064 -12.742 -13.142 -13.113 -13.113 -13.234 -13.268 -13.397
0.0152 0.01508 8.04003 5.1177220345 2.6146588326    4.922  4.399  3.5015 -0.311    8  0.878  0.401   567.92   224.69   140.65   107.40    88.88  2 -6.98e-06      0.19 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.227 -10.024 -10.321 -11.785 -12.170 -12.110 -12.077 -12.170 -12.188 -12.316
0.0152 0.01508 8.04003 5.1177253723 2.6146588326    4.921  4.288  3.5162 -0.141    8  0.878  0.401   373.10   165.32   104.93    79.76    65.96  2  -2.2e-06      0.05 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -5.950 -9.359 -9.526 -10.415 -10.728 -10.671 -10.637 -10.704 -10.714 -10.842
0.0152 0.01508 8.04003 5.1177306175 2.6146590710    4.920  4.325  3.5113 -0.198    8  0.879  0.401   428.14   183.07   115.66    88.05    72.83  2 -3.23e-06      0.08 6.164e-01 3.683e-01 1.620e-03 3.290e-03 5.381e-03 -1.000 1.532e-02 -6.042 -9.578 -9.793 -10.943 -11.293 -11.230 -11.193 -11.269 -11.282 -11.409
0.0152 0.01508 8.04003 5.1177377701 2.6146590710    4.918  4.351  3.5077 -0.239    8  0.879  0.401   474.13   197.26   124.20    94.66    78.31  2 -4.27e-06      0.13 6.164e-01 3.683e-01 1.620e-03 3.291e-03 5.381e-03 -1.000 1.532e-02 -6.109 -9.761 -10.016 -11.332 -11.702 -11.639 -11.603 -11.688 -11.703 -11.829
0.0152 0.01508 8.04003 5.1177473068 2.6146590710    4.915  4.367  3.5056 -0.263    8  0.879  0.401   502.94   205.87   129.37    98.67    81.63  2 -5.01e-06      0.16 6.164e-01 3.683e-01 1.620e-03 3.291e-03 5.381e-03 -1.000 1.532e-02 -6.147 -9.871 -10.150 -11.552 -11.930 -11.870 -11.835 -11.925 -11.942 -12.069
0.0152 0.01508 8.04003 5.1177597046 2.6146590710    4.912  4.375  3.5045 -0.276    8  0.879  0.401   519.62   210.78   132.31   100.95    83.52  2 -5.47e-06      0.18 6.164e-01 3.683e-01 1.620e-03 3.291e-03 5.381e-03 -1.000 1.532e-02 -6.167 -9.930 -10.222 -11.670 -12.053 -11.993 -11.960 -12.052 -12.070 -12.197
0.0152 0.01508 8.04003 5.1177749634 2.6146590710    4.908  4.380  3.5037 -0.285    8  0.879  0.402   531.32   214.17   134.35   102.52    84.83  2 -5.81e-06      0.19 6.164e-01 3.683e-01 1.620e-03 3.291e-03 5.381e-03 -1.000 1.532e-02 -6.180 -9.969 -10.269 -11.748 -12.135 -12.075 -12.043 -12.136 -12.155 -12.282
0.0152 0.01508 8.04003 5.1177940369 2.6146593094    4.903  4.385  3.5031 -0.292    8  0.879  0.401   541.50   217.10   136.10   103.88    85.96  2 -6.14e-06      0.21 6.164e-01 3.683e-01 1.621e-03 3.291e-03 5.381e-03 -1.000 1.532e-02 -6.193 -10.013 -10.322 -11.821 -12.209 -12.151 -12.121 -12.217 -12.237 -12.364
