ZTFJ001553.23+093631.9   6713   3.97182   9.60887  11.4653752  0.253 5.014 58279.4503281 19.226 18.008    11.4750759    11.4653752   50   47  0.311  0.253 5.041 5.014  0.909  0.983 0.942 0.783   -5.237   -5.187 CEPII 0.000 0.000 
ZTFJ001842.80+540221.3   7751   4.67835  54.03925  15.4376714  0.163 6.373 58373.6193367 14.308 13.440    15.4376714    15.4254124   61   60  0.163  0.141 6.373 6.680  0.990  0.993 1.423 0.986   -8.259   -8.185 CEPII 0.000 0.000 
ZTFJ002244.58+334933.6   9196   5.68577  33.82600   1.1668058  0.465 4.166 58292.4830494 15.905 15.758     1.1673441     1.1668058   53   58  0.439  0.465 3.990 4.166  0.879  0.945 1.421 0.866   -3.640   -5.132 CEPII 0.000 0.000 
ZTFJ002636.32+562844.4  10476   6.65137  56.47902   8.4631465  0.204 6.860 58367.1460379 17.560 16.388     8.4572794     8.4631465   59   59  0.238  0.204 6.757 6.860  0.974  0.988 0.649 0.556   -7.663   -8.008 CEPII 0.000 0.000 
ZTFJ002855.37+430200.6  11233   7.23073  43.03352   1.1783033  0.217 5.009 58277.4508756 13.562 13.385     1.1783033     1.1782628  122  121  0.168  0.217 4.906 5.009  0.983  0.986 0.545 0.372  -17.636  -15.195 CEPII 0.000 0.000 
ZTFJ004100.87+112545.3  15327  10.25363  11.42927   2.3145410  0.273 4.993 58658.3934655 16.469 16.055     2.3144461     2.3145410   50   51  0.273  0.227 4.993 5.424  0.974  0.964 0.757 0.483   -5.463   -5.871 CEPII 0.000 0.000 
ZTFJ010104.90+705119.0  21982  15.27043  70.85529  29.8642079  0.023 3.873 58361.4384254 13.350  0.000    29.8642079     0.0000000  142    0  0.023  0.000 3.873 0.000  0.848  0.000 0.268 0.000  -22.351    0.000 CEPII 0.000 0.000 
ZTFJ011404.70+593321.7  26028  18.51961  59.55605   3.3342205  0.310 5.555 58378.3809386 20.161 18.666     3.3318899     3.3342205  103  138  0.130  0.310 5.637 5.555  0.768  0.922 0.823 0.540  -12.483  -20.686 CEPII 0.000 0.000 
ZTFJ013531.63+690955.3  32678  23.88183  69.16537  12.6043645  0.139 7.787 58300.4481347 13.448  0.000    12.6043645     0.0000000   62    0  0.139  0.000 7.787 0.000  0.944  0.000 0.582 0.000   -8.163    0.000 CEPII 0.000 0.000 
ZTFJ014249.74+552131.0  35067  25.70726  55.35863  10.8999844  0.166 6.908 58457.2038464 13.370 12.522    10.8999844    10.8986892  124  135  0.166  0.102 6.908 7.654  0.973  0.758 0.480 0.430  -21.258  -17.576 CEPII 0.000 0.000 
ZTFJ014935.95+141131.9  37671  27.39983  14.19221   2.2524264  0.217 5.100 58475.1246442 16.831 16.438     2.2526510     2.2524264   42   41  0.187  0.217 4.923 5.100  0.983  0.983 1.044 0.668   -4.563   -4.344 CEPII 0.000 0.000 
ZTFJ021339.85+093551.0  46009  33.41608   9.59750   1.1352303  0.264 3.988 58481.3092113 18.334 17.980     1.1349661     1.1352303   38   35  0.394  0.264 3.720 3.988  0.918  0.922 0.537 0.387   -2.782   -2.196 CEPII 0.000 0.000 
ZTFJ021623.17+044831.8  46923  34.09655   4.80884   1.3894045  0.198 4.231 58493.1237343 15.133 14.882     1.3896172     1.3894045   38   39  0.191  0.198 4.157 4.231  0.994  0.997 0.926 0.681   -3.759   -4.309 CEPII 0.000 0.000 
ZTFJ021757.80+590552.1  47526  34.49087  59.09781  25.1385074  0.336 5.589 58507.2112917 14.540 13.429    25.1547144    25.1385074  123  144  0.354  0.336 5.193 5.589  0.921  0.943 0.901 0.666  -17.470  -21.833 CEPII 0.000 0.000 
ZTFJ022239.42-012505.2  49077  35.66429  -1.41813   1.2932497  0.156 4.865 58437.3083314 16.888 16.610     1.2930188     1.2932497   36   36  0.220  0.156 4.549 4.865  0.991  0.990 0.880 0.601   -3.519   -3.605 CEPII 0.000 0.000 
ZTFJ022250.39+500419.0  49142  35.70996  50.07195   2.7618216  0.350 4.046 58379.3924377 15.061 14.505     2.7618216     2.7614664   58   67  0.350  0.367 4.046 4.269  0.988  0.986 0.491 0.344   -6.537   -8.314 CEPII 0.000 0.000 
ZTFJ022357.38+124941.7  49532  35.98910  12.82827  91.1478439  0.117 5.841 58386.0548243 14.834 13.529    91.1478439    93.8417936   37   33  0.117  0.188 5.841 6.208  0.992  0.979 1.017 0.730   -3.913   -3.144 CEPII 0.000 0.000 
ZTFJ023622.16+173930.6  53520  39.09237  17.65852   1.0597908  0.381 3.815 58490.1986840 16.232 15.893     1.0597908     1.0596819   40   42  0.381  0.347 3.815 4.071  0.992  0.986 0.590 0.395   -3.162   -3.509 CEPII 0.000 0.000 
ZTFJ025440.39+514928.7  59516  43.66833  51.82465  11.2452265  0.358 5.638 58362.4567741 14.224 13.375    11.2190336    11.2452265  240  254  0.418  0.358 4.969 5.638  0.965  0.976 0.829 0.592  -30.181  -34.327 CEPII 0.000 0.000 
ZTFJ025810.40-061150.1  60668  44.54336  -6.19725  32.4465182  0.247 5.590 58507.0035381 13.615 12.807    32.5758383    32.4465182  132  150  0.248  0.247 5.744 5.590  0.849  0.926 1.183 0.921   -6.365   -9.006 CEPII 0.000 0.000 
ZTFJ031307.01+634243.9  65180  48.27923  63.71220   1.3823887  0.282 4.103 58508.2279096 17.851 16.399     1.3824211     1.3823887  121  133  0.253  0.282 3.867 4.103  0.985  0.995 1.020 0.700  -20.143  -21.483 CEPII 0.000 0.000 
ZTFJ032404.30+211344.8  68666  51.01792  21.22913  14.7036710  0.136 7.627 58386.4616376 16.995 16.102    14.7036710    14.7089558   53   58  0.136  0.100 7.627 8.151  0.985  0.990 0.800 0.582   -7.094   -7.911 CEPII 0.000 0.000 
ZTFJ032725.00+025542.5  69802  51.85420   2.92848   1.3348832  0.496 4.151 58437.3037212 17.373 17.117     1.3337164     1.3348832   50   58  0.391  0.496 3.792 4.151  0.801  0.961 0.971 0.805   -4.043   -4.418 CEPII 0.000 0.000 
ZTFJ033230.97+451247.2  71326  53.12905  45.21313   1.3091927  0.186 4.563 58369.4359052 17.662 16.416     1.3091380     1.3091927  119  121  0.155  0.186 4.569 4.563  0.504  0.625 0.134 0.071   -9.099  -12.195 CEPII 0.000 0.000 
ZTFJ033236.75+391134.2  71362  53.15313  39.19285   1.1380586  0.398 4.016 58385.4659644 15.216 14.841     1.1380586     1.1387021   63   56  0.398  0.418 4.016 4.252  0.980  0.975 0.819 0.580   -6.932   -6.098 CEPII 0.000 0.000 
ZTFJ033947.85+152905.7  73675  54.94939  15.48494   2.2264046  0.145 5.345 58329.5119987 18.714 18.072     2.2253570     2.2264046   51   57  0.111  0.145 4.692 5.345  0.881  0.954 0.640 0.433   -5.927   -7.842 CEPII 0.000 0.000 
ZTFJ034145.52+730513.0  74181  55.43967  73.08695   2.1821018  0.398 4.607 58388.5250352 16.985 16.457     2.1817551     2.1821018   51   55  0.389  0.398 4.508 4.607  0.983  0.944 0.861 0.616   -5.340   -5.854 CEPII 0.000 0.000 
ZTFJ040236.51+642653.0  81105  60.65213  64.44806  12.2932416  0.169 7.036 58334.3461196 13.540  0.000    12.2932416     0.0000000   60    0  0.169  0.000 7.036 0.000  0.984  0.000 0.682 0.000   -8.198    0.000 CEPII 0.000 0.000 
ZTFJ042001.79+171645.9  87463  65.00748  17.27942  16.5892886  0.171 6.054 58204.4380997 17.738 16.776    16.6177513    16.5892886   62   63  0.221  0.171 5.852 6.054  0.981  0.989 1.302 0.970   -8.699   -8.695 CEPII 0.000 0.000 
ZTFJ043409.54+531908.9  93162  68.53979  53.31914  15.0046234  0.130 7.233 58539.0947503 17.350 15.345    15.0080705    15.0046234  123  139  0.153  0.130 6.794 7.233  0.975  0.994 1.191 0.944  -21.322  -25.170 CEPII 0.000 0.000 
ZTFJ044250.26+464204.3  96692  70.70944  46.70122  27.7608981  0.125 9.192 58430.2583004 13.322  0.000    27.7608981     0.0000000  116    0  0.125  0.000 9.192 0.000  0.925  0.000 0.618 0.000  -17.928    0.000 CEPII 0.000 0.000 
ZTFJ045954.96+101718.4 105118  74.97903  10.28847   6.4370584  0.368 5.015 58429.3812204 14.870 14.283     6.4314892     6.4370584  104  113  0.373  0.368 4.666 5.015  0.991  0.990 0.660 0.428  -13.571  -15.846 CEPII 0.000 0.000 
ZTFJ050514.25+214549.0 108065  76.30941  21.76362  13.9053428  0.238 6.140 58348.5301365 13.197  0.000    13.9053428     0.0000000   51    0  0.238  0.000 6.140 0.000  0.991  0.000 1.353 0.000   -6.454    0.000 CEPII 0.000 0.000 
ZTFJ050541.07+262307.9 108332  76.42113  26.38553   1.1372656  0.405 4.149 58510.2385867 20.273 19.500     1.1372627     1.1372656   36   59  0.453  0.405 9.168 4.149  0.790  0.823 0.720 0.463   -1.256   -4.538 CEPII 0.000 0.000 
ZTFJ051653.87+492820.9 114611  79.22447  49.47249  12.5844341  0.108 6.431 58369.4645392 16.109 14.946    12.5906704    12.5844341   62   69  0.098  0.108 6.129 6.431  0.896  0.969 0.369 0.324   -8.003  -10.460 CEPII 0.000 0.000 
ZTFJ052014.71+154939.5 116628  80.06133  15.82764   1.0569378  0.460 4.146 58219.1966070 19.026 18.452     1.0572104     1.0569378   50   60  0.410  0.460 3.853 4.146  0.892  0.944 1.516 1.044   -2.790   -4.790 CEPII 0.000 0.000 
ZTFJ053301.72+180758.7 124451  83.25718  18.13300 167.8175977  0.179 3.709 58442.7636889 14.461  0.000   167.8175977     0.0000000   53    0  0.179  0.000 3.709 0.000  0.939  0.000 0.775 0.000   -6.603    0.000 CEPII 0.000 0.000 
ZTFJ060526.99+250039.6 143341  91.36249  25.01102  36.1823835  0.212 5.399 58509.0126977 17.810 16.646    36.0012888    36.1823835   95  102  0.200  0.212 5.253 5.399  0.803  0.881 1.040 0.836  -12.346  -15.019 CEPII 0.000 0.000 
ZTFJ060614.91+135419.1 143746  91.56213  13.90531  30.9963780  0.289 4.871 58559.9846274 12.235  0.000    30.9963780     0.0000000   88    0  0.289  0.000 4.871 0.000  0.704  0.000 0.795 0.000   -8.878    0.000 CEPII 0.000 0.000 
