ZTFJ000004.49+514615.4     42   0.01871  51.77095   0.0918632  0.187 4.174 58428.2433174 17.392 17.104     0.0918639     0.0918632  151  160  0.187  0.139 4.174 3.796  0.801  0.793 0.161 0.115  -20.836  -23.181 DSCT  0.000 0.000 
ZTFJ000005.21+650537.8     47   0.02174  65.09385   0.1251307  0.066 8.199 58353.4356974 14.071 13.139     0.1251307     0.1251308  257  298  0.066  0.064 8.199 9.124  0.537  0.511 0.107 0.070  -19.761  -25.049 DSCT  0.000 0.000 
ZTFJ000005.34+543148.7     48   0.02228  54.53020   0.0602120  0.101 4.100 58305.4711181 14.514 14.305     0.0602120     0.0602121  151  162  0.101  0.068 4.100 4.057  0.835  0.684 0.080 0.055  -23.074  -20.142 DSCT  0.000 0.000 
ZTFJ000012.19+584528.2    104   0.05082  58.75785   0.0750225  0.078 3.853 58337.3444621 18.929 18.075     0.0750217     0.0750225  295  322  0.250  0.078 3.597 3.853  0.449  0.630 0.171 0.116  -17.195  -33.701 DSCT  0.000 0.000 
ZTFJ000012.42+242608.7    108   0.05178  24.43576   0.0810688  0.310 3.770 58292.4784599 15.641 15.483     0.0810688     0.0810684   61   65  0.310  0.296 3.770 3.747  0.985  0.952 0.378 0.268   -7.748   -8.437 DSCT  0.000 0.000 
ZTFJ000013.16+514411.1    115   0.05485  51.73642   0.0540014  0.114 8.902 58385.2675541 15.951 15.747     0.0540015     0.0540014  151  160  0.114  0.106 8.902 3.388  0.438  0.435 0.066 0.056  -10.469  -10.734 DSCT  0.000 0.000 
ZTFJ000023.64+491228.1    210   0.09853  49.20781   0.1546356  0.252 6.713 58277.4275999 19.413 18.974     0.1546357     0.1546356   63   71  0.162  0.252 5.604 6.713  0.713  0.839 0.395 0.416   -5.760   -7.284 DSCT  0.000 0.000 
ZTFJ000049.07+551428.0    400   0.20449  55.24113   0.0766782  0.291 3.953 58646.4685011 18.814 18.501     0.0766786     0.0766782  149  161  0.240  0.291 3.735 3.953  0.757  0.774 0.346 0.248  -18.847  -20.298 DSCT  0.000 0.000 
ZTFJ000051.42+484909.9    420   0.21429  48.81944   0.1274112  0.325 4.053 58299.4209279 15.128 14.928     0.1274112     0.1274128   66   72  0.325  0.471 4.053 4.260  0.995  0.940 0.370 0.258   -8.334   -8.505 DSCT  0.000 0.000 
ZTFJ000052.85+622514.8    428   0.22023  62.42080   0.0865521  0.313 4.066 58271.4448220 15.080 14.592     0.0865528     0.0865521  294  314  0.313  0.326 4.066 4.161  0.989  0.986 0.509 0.350  -42.019  -47.911 DSCT  0.000 0.000 
ZTFJ000059.24+613510.3    486   0.24687  61.58622   0.0798692  0.099 4.537 58263.4132171 17.486 16.691     0.0798700     0.0798692  299  320  0.131  0.099 4.027 4.537  0.751  0.762 0.144 0.097  -33.486  -41.078 DSCT  0.000 0.000 
ZTFJ000101.45+720048.8    502   0.25605  72.01358   0.0749604  0.414 3.943 58319.4090799 18.742 18.106     0.0749604     0.0749610  162  127  0.414  0.409 3.943 4.125  0.798  0.784 0.336 0.192  -18.924  -14.035 DSCT  0.000 0.000 
ZTFJ000101.50+575136.7    503   0.25626  57.86021   0.1256926  0.139 3.609 58509.1781683 14.415 13.725     0.1256926     0.1256952  201  219  0.139  0.144 3.609 3.376  0.683  0.632 0.113 0.076  -22.936  -22.648 DSCT  0.000 0.000 
ZTFJ000102.07+751754.7    509   0.25864  75.29853   0.0677217  0.475 3.640 58315.4763697 17.431 16.925     0.0677221     0.0677217   52   58  0.458  0.475 3.639 3.640  0.926  0.945 0.731 0.556   -4.597   -5.435 DSCT  0.000 0.000 
ZTFJ000107.17+453607.0    543   0.27988  45.60196   0.0874739  0.150 5.889 58388.2638859  0.000 18.682     0.0000000     0.0874739    0   54  0.000  0.150 0.000 5.889  0.000  0.831 0.000 0.237    0.000   -5.841 DSCT  0.000 0.000 
ZTFJ000112.12+575613.5    587   0.30051  57.93710   0.0956211  0.233 4.071 58376.3552717 17.867 17.234     0.0956211     0.0956213  200  219  0.233  0.260 4.071 4.106  0.977  0.969 0.569 0.406  -31.965  -34.212 DSCT  0.000 0.000 
ZTFJ000112.56+624146.9    592   0.30234  62.69638   0.1050370  0.100 5.500 58312.4241408 17.273 16.503     0.1050370     0.1050346  294  314  0.100  0.062 5.500 8.238  0.435  0.380 0.061 0.043  -18.312  -18.789 DSCT  0.000 0.000 
ZTFJ000114.74+534305.4    607   0.31142  53.71819   0.0611635  0.096 8.557 58364.3101279 18.043 17.833     0.0611622     0.0611635  151  161  0.163  0.096 9.231 8.557  0.470  0.630 0.190 0.171  -12.018  -17.288 DSCT  0.000 0.000 
ZTFJ000116.15+523815.2    621   0.31731  52.63758   0.0975559  0.101 4.150 58334.3981755  0.000 21.000     0.0000000     0.0975559    1   60  0.000  0.101 0.000 4.150  0.000  0.584 0.000 0.491    0.000   -3.655 DSCT  0.000 0.000 
ZTFJ000116.54+543024.7    626   0.31892  54.50688   0.0456022  0.191 3.957 58337.3440627 14.875 14.600     0.0456024     0.0456022  151  162  0.157  0.191 4.063 3.957  0.695  0.721 0.241 0.153  -18.298  -19.890 DSCT  0.000 0.000 
ZTFJ000123.15+681742.6    689   0.34650  68.29518   0.0825983  0.382 3.633 58286.4715967 20.266 19.222     0.0825987     0.0825983  150  207  0.335  0.382 3.501 3.633  0.495  0.654 0.449 0.319  -10.100  -18.537 DSCT  0.000 0.000 
ZTFJ000129.82+544152.5    740   0.37425  54.69794   0.1141265  0.079 4.437 58255.4285435 13.555 13.313     0.1141265     0.1141268  151  162  0.079  0.064 4.437 8.166  0.775  0.719 0.077 0.057  -21.546  -21.388 DSCT  0.000 0.000 
ZTFJ000134.57+601252.4    784   0.39406  60.21458   0.1074457  0.134 3.849 58474.1404033 17.204 16.381     0.1074457     0.1074466  287  313  0.134  0.059 3.849 4.751  0.707  0.685 0.130 0.096  -30.798  -35.368 DSCT  0.000 0.000 
ZTFJ000134.93+572513.1    788   0.39555  57.42031   0.0724226  0.260 3.796 58642.4202315 17.339 16.634     0.0724226     0.0724230  207  218  0.260  0.172 3.796 3.633  0.587  0.534 0.087 0.050  -18.426  -18.415 DSCT  0.000 0.000 
ZTFJ000139.27+541924.3    836   0.41365  54.32342   0.1050787  0.080 3.606 58322.4474838 15.555 15.065     0.1050787     0.1050796  151  162  0.080  0.206 3.606 8.899  0.699  0.504 0.069 0.043  -19.133  -12.750 DSCT  0.000 0.000 
ZTFJ000140.15+553523.2    845   0.41730  55.58979   0.1034556  0.097 4.179 58326.4839124 15.804 15.408     0.1034556     0.1034548  150  161  0.097  0.043 4.179 5.815  0.508  0.451 0.056 0.037  -12.826  -11.805 DSCT  0.000 0.000 
ZTFJ000141.51+512549.1    864   0.42297  51.43033   0.0493509  0.088 4.301 58366.4123491 16.013 15.752     0.0493515     0.0493509  211  228  0.088  0.115 4.301 7.593  0.616  0.457 0.050 0.040  -20.758  -15.811 DSCT  0.000 0.000 
ZTFJ000141.71+650416.6    865   0.42382  65.07128   0.0849130  0.471 3.697 58347.4067260 19.593 18.302     0.0849130     0.0782567  252  313  0.471  0.112 3.697 7.915  0.221  0.251 0.134 0.071   -4.263  -16.956 DSCT  0.000 0.000 
ZTFJ000141.79+612707.1    866   0.42416  61.45200   0.0823966  0.061 6.610 58353.4722696 18.117 17.156     0.0823968     0.0823966  299  320  0.049  0.061 4.899 6.610  0.274  0.376 0.062 0.046  -10.519  -18.456 DSCT  0.000 0.000 
ZTFJ000147.50+532318.6    913   0.44793  53.38851   0.0573916  0.274 3.728 58323.4776995 16.881 16.589     0.0573916     0.0573917  151  161  0.274  0.280 3.728 3.910  0.973  0.965 0.368 0.250  -26.000  -27.244 DSCT  0.000 0.000 
ZTFJ000154.44+601224.9    973   0.47685  60.20694   0.0751075  0.119 5.224 58343.3647078 18.718 17.920     0.0751079     0.0751075  153  305  0.096  0.119 8.597 5.224  0.239  0.440 0.094 0.080   -4.658  -20.191 DSCT  0.000 0.000 
ZTFJ000202.17+560242.7   1049   0.50905  56.04521   0.0627520  0.288 3.933 58507.1574826 17.162 16.852     0.0627520     0.0627518  209  220  0.288  0.304 3.933 3.987  0.985  0.969 0.459 0.322  -34.722  -33.650 DSCT  0.000 0.000 
ZTFJ000218.98+535304.3   1172   0.57910  53.88454   0.1211800  0.143 3.765 58354.4292015 15.051 14.707     0.1211800     0.1211811  127  141  0.143  0.164 3.765 3.877  0.975  0.972 0.284 0.196  -22.527  -24.930 DSCT  0.000 0.000 
ZTFJ000219.07+575253.8   1174   0.57948  57.88162   0.1262364  0.293 3.448 58320.3847885 17.680 16.797     0.1262431     0.1262364  201  219  0.204  0.293 9.424 3.448  0.189  0.369 0.045 0.037   -4.587  -10.869 DSCT  0.000 0.000 
ZTFJ000226.99+614357.4   1234   0.61249  61.73263   0.1692997  0.174 9.155 58372.3666627 17.796 16.608     0.1693044     0.1692997  299  318  0.206  0.174 8.756 9.155  0.734  0.825 0.202 0.117  -31.454  -43.444 DSCT  0.000 0.000 
ZTFJ000250.49+642259.0   1436   0.71039  64.38306   0.1744146  0.096 7.002 58652.4448380 17.884 16.880     0.1744160     0.1744146  289  312  0.286  0.096 5.680 7.002  0.207  0.418 0.051 0.042   -6.346  -20.582 DSCT  0.000 0.000 
ZTFJ000254.53+703737.3   1457   0.72724  70.62704   0.1443826  0.202 6.172 58277.4273809 18.165 17.293     0.1443826     0.1443850  200  215  0.367  0.202 5.566 6.172  0.195  0.532 0.058 0.078   -3.409  -18.643 DSCT  0.000 0.000 
ZTFJ000303.19+462750.3   1540   0.76332  46.46398   0.0511277  0.198 3.757 58503.1600362 17.478 17.335     0.0511277     0.0511262   66   74  0.198  0.314 3.757 3.260  0.712  0.524 0.087 0.071   -5.825   -5.572 DSCT  0.000 0.000 
ZTFJ000306.38+614452.2   1569   0.77661  61.74786   0.0573763  0.283 4.318 58475.1616600 20.306 19.225     0.0573758     0.0573763  200  283  0.403  0.283 4.178 4.318  0.392  0.624 0.397 0.253   -8.563  -27.137 DSCT  0.000 0.000 
ZTFJ000311.55+603250.0   1607   0.79814  60.54725   0.1369330  0.054 7.753 58436.2384446 15.708 15.039     0.1369330     0.1369349  143  156  0.054  0.116 7.753 3.984  0.416  0.348 0.051 0.040   -8.582   -8.026 DSCT  0.000 0.000 
ZTFJ000312.19+652656.7   1614   0.80082  65.44909   0.0810466  0.093 4.017 58380.3292698 18.066 16.602     0.0810454     0.0810466  413  744  0.301  0.093 4.088 4.017  0.142  0.414 0.077 0.064   -4.316  -21.829 DSCT  0.000 0.000 
ZTFJ000315.03+571415.3   1639   0.81266  57.23760   0.0917241  0.391 4.131 58313.4495046 18.367 17.675     0.0917241     0.0917238  208  218  0.391  0.473 4.131 3.899  0.846  0.424 0.373 0.196  -26.205  -11.296 DSCT  0.000 0.000 
ZTFJ000316.54+625516.9   1650   0.81895  62.92137   0.1334794  0.133 8.904 58383.4550579 15.973 15.225     0.1334794     0.1334824  138  146  0.133  0.156 8.904 8.657  0.599  0.544 0.077 0.045  -13.430  -12.494 DSCT  0.000 0.000 
ZTFJ000324.20+625430.8   1729   0.85085  62.90857   0.0629305  0.177 8.963 58432.2641898 16.470 15.488     0.0629305     0.0629307  138  148  0.177  0.081 8.963 3.174  0.595  0.569 0.082 0.049  -13.689  -13.993 DSCT  0.000 0.000 
