ZTFJ000026.40-164047.7    230   0.11004 -16.67992   0.3675010  0.123 4.922 58429.2222041 17.266 17.109     0.3675010     0.2685390   30   29  0.123  0.139 4.922 4.055  0.973  0.906 0.518 0.383   -1.966   -1.832 RRc   0.000 0.000 
ZTFJ000028.87+372159.6    244   0.12031  37.36657   0.4167627  0.185 4.350 58644.4501750 17.755 17.563     0.4167627     0.4167868   63   63  0.185  0.304 4.350 5.364  0.754  0.714 0.533 0.327   -5.858   -4.807 RRc   0.000 0.000 
ZTFJ000044.32+375034.3    364   0.18468  37.84288   0.2915063  0.114 4.655 58292.4736795 13.205 13.049     0.2915160     0.2915063   63   63  0.114  0.103 4.655 4.593  0.988  0.986 0.491 0.337   -9.137   -9.333 RRc   0.000 0.000 
ZTFJ000104.39-105302.1    526   0.26832 -10.88392   0.3981119  0.063 5.157 58286.4361844 17.689 17.639     0.3981119     0.3980617   33   32  0.063  0.199 5.157 4.920  0.978  0.945 0.598 0.432   -2.978   -2.646 RRc   0.000 0.000 
ZTFJ000120.97+612135.2    664   0.33739  61.35979   0.3055375  0.179 4.342 58289.4528725 15.257 14.677     0.3055375     0.3055378  299  320  0.179  0.131 4.342 4.581  0.790  0.750 0.290 0.191  -34.831  -40.128 RRc   0.000 0.000 
ZTFJ000131.85+393744.1    760   0.38273  39.62893   0.2776852  0.174 3.881 58274.4470673 18.034 17.921     0.2776852     0.2776880   63   63  0.174  0.174 3.881 4.413  0.885  0.790 0.312 0.210   -7.804   -6.395 RRc   0.000 0.000 
ZTFJ000149.21+291851.0    929   0.45505  29.31417   0.3687546  0.203 4.495 58431.1517079 15.743 15.593     0.3687498     0.3687546   58   63  0.114  0.203 5.018 4.495  0.867  0.896 0.520 0.450   -6.840   -7.073 RRc   0.000 0.000 
ZTFJ000223.68-163622.2   1208   0.59869 -16.60617   0.2858087  0.076 8.404 58457.1239754 17.240 17.189     0.2858428     0.2858087   30   29  0.189  0.076 4.353 8.404  0.943  0.969 0.501 0.317   -2.185   -2.053 RRc   0.000 0.000 
ZTFJ000240.25+624807.1   1360   0.66773  62.80199   0.2215446  0.151 4.531 58348.4108610 17.412 16.503     0.2215446     0.2215491  294  313  0.151  0.156 4.531 4.895  0.847  0.819 0.349 0.207  -37.634  -43.055 RRc   0.000 0.000 
ZTFJ000240.65+083602.4   1363   0.66938   8.60068   0.3810322  0.143 5.040 58279.4691716 18.822 18.631     0.3810555     0.3810322   52   48  0.147  0.143 4.105 5.040  0.890  0.907 0.469 0.375   -6.064   -5.029 RRc   0.000 0.000 
ZTFJ000316.23-112504.3   1648   0.81765 -11.41788   0.3688249  0.118 4.844 58295.4317219 13.945 13.867     0.3688249     0.2692519   33   32  0.118  0.086 4.844 3.907  0.961  0.926 0.540 0.377   -2.546   -2.396 RRc   0.000 0.000 
ZTFJ000318.97-122841.1   1672   0.82907 -12.47811   0.3034643  0.203 4.332 58472.1651218 17.295 17.278     0.3034643     0.3034498   33   32  0.203  0.309 4.332 4.553  0.987  0.959 0.554 0.422   -2.797   -2.439 RRc   0.000 0.000 
