# DEJ2000 AGC Flag ObjID RAJ2000 RVel Dist e_Dist gext iext b/a e_b/a imag e_imag Dprop Sloan Ag Ai iMAG e_iMAG g-i e_g-i logMsT e_logMsT logMsM e_logMsM logMsG e_logMsG logSFR22 e_logSFR22 logSFRN e_logSFRN logSFRG e_logSFRG logMHI e_logMHI WRAPPED_RA WRAPPED_DE px py pz size
16.60972 742839 1 1237668623554969786 198.487490 6588 98.2 2.3 0.08 0.04 0.73 0.01 16.52 0.01 Dprop Sloan 0.28 0.22 -18.51 0.07 0.58 0.07 8.96 0.05 9.19 0.02 9.02 0.04 -1.56 0.28 -0.96 0.05 -0.79 0.04 9.53 0.05 -2.818925 0.28989 -89.2 -29.8 28.1 1
16.61000 184819 1 1237667142859030759 122.286240 13713 199.2 2.5 0.15 0.08 0.80 0.01 15.14 0.01 Dprop Sloan 1.26 0.66 -21.50 0.04 0.80 0.05 10.31 0.04 10.56 0.01 "" "" -0.51 0.18 0.12 0.02 "" "" 10.01 0.05 2.134298 0.28990 -102.0 161.4 56.9 1
16.61056 258665 1 1237665567690981496 238.660000 2368 38.0 2.4 0.11 0.06 0.57 0.01 16.45 0.01 Dprop Sloan 0.00 0.00 -16.51 0.16 0.37 0.11 8.01 0.10 8.42 0.06 "" "" -2.11 0.20 "" "" "" "" 9.12 0.07 -2.117783 0.28991 -18.9 -31.1 10.9 1
16.61083 251515 1 1237665549437501720 240.409990 4650 70.1 2.3 0.11 0.06 0.45 0.02 17.30 0.02 Dprop Sloan 0.00 0.00 -16.98 0.13 0.44 0.15 8.25 0.12 8.91 0.03 8.23 0.09 "" "" "" "" -1.03 0.12 8.82 0.06 -2.087239 0.28991 -33.2 -58.4 20.0 1
16.61250 740271 1 1237668585967517901 163.524570 6445 96.9 2.3 0.10 0.05 0.83 0.05 17.42 0.02 Dprop Sloan 0.02 0.08 -17.57 0.06 0.66 0.05 8.64 0.04 8.75 0.03 8.72 0.06 "" "" "" "" -1.31 0.10 8.81 0.08 2.854042 0.28994 -89.0 26.3 27.7 1
16.61639 191180 1 1237667782816432254 140.830410 10646 156.4 2.3 0.10 0.05 0.38 0.01 14.78 0.01 Dprop Sloan 1.15 0.64 -21.51 0.13 0.82 0.18 10.33 0.14 10.60 0.01 10.51 0.03 0.16 0.03 0.24 0.03 0.22 0.11 10.08 0.05 2.457954 0.29001 -116.2 94.7 44.7 1
16.61667 10086 1 1237665567690981495 238.671230 2289 35.1 4.3 0.11 0.06 0.45 0.01 14.11 0.01 Dprop Sloan 0.33 0.25 -18.76 0.29 0.70 0.15 9.14 0.16 9.49 0.11 "" "" -0.71 0.11 "" "" "" "" 9.20 0.11 -2.117587 0.29002 -17.5 -28.7 10.0 1
16.61833 719367 1 1237668495242166364 169.157070 14546 212.6 2.3 0.06 0.03 0.78 0.01 16.30 0.01 Dprop Sloan 0.82 0.51 -20.42 0.04 0.94 0.06 9.97 0.04 10.12 0.01 10.13 0.03 -0.69 0.23 "" "" -0.35 0.12 10.07 0.05 2.952348 0.29004 -200.1 38.3 60.8 1
16.62083 743021 1 1237668624093478990 202.326250 8925 131.4 2.3 0.07 0.03 0.83 0.01 15.43 0.02 Dprop Sloan 0.90 0.48 -20.24 0.05 0.61 0.05 9.67 0.04 10.00 0.02 9.79 0.04 -0.45 0.05 -0.17 0.02 -0.23 0.05 9.62 0.13 -2.751926 0.29009 -116.5 -47.8 37.6 1
16.62139 172651 1 1237673807042707959 117.894170 6571 96.9 2.3 0.11 0.06 0.30 0.01 15.89 0.01 Dprop Sloan 0.43 0.31 -19.26 0.17 0.90 0.23 9.48 0.17 9.79 0.02 9.59 0.07 -0.48 0.04 -0.46 0.03 -0.42 0.10 9.72 0.05 2.057641 0.29010 -43.4 82.1 27.7 1
